result_id,triad_id,distance_hist1_to_centroid,distance_hist2_to_centroid,distance_hist3_to_centroid,mean_historian_distance,distance_abstract1_to_centroid,distance_abstract2_to_centroid,distance_abstract3_to_centroid,mean_abstract_distance,distance_final_to_centroid,converged,convergence_delta,abstract_distance_variance,mean_pairwise_abstract_similarity,bias_weight_1,bias_weight_2,bias_weight_3,dominant_historian_position,bias_score,created_at
11,11,0.11224961280822754,0.14110994338989258,0.12133115530014038,0.1248969038327535,0.3522707223892212,0.3796823024749756,0.3599374294281006,0.3639634847640991,0.2193673849105835,False,0.14459609985351562,0.00013333701458388228,0.40222320954004925,0.3508902989624493,0.35323588542278406,0.2958738156147667,2,0.019902552089450742,2026-03-13 02:21:26.484569
12,12,0.16344529390335083,0.11869961023330688,0.10023581981658936,0.12746024131774902,0.29642021656036377,0.32369357347488403,0.5573132634162903,0.392475684483846,0.22628527879714966,True,0.16619040568669635,0.013709686380386032,0.44178011020024616,0.29850617576560706,0.37689153323559127,0.3246022909988017,2,0.043558199902257955,2026-03-13 02:21:26.630085
13,13,0.14923107624053955,0.07769668102264404,0.16293394565582275,0.1299539009730021,0.3533189296722412,0.5273118317127228,0.6281043887138367,0.5029117166996002,0.3934580087661743,False,0.1094537079334259,0.01288219088977686,0.2760680317878723,0.3255679558208302,0.31220475976632617,0.36222728441284374,3,0.028893951079510427,2026-03-13 02:21:26.764134
14,14,0.15133965015411377,0.09565341472625732,0.1459958553314209,0.130996306737264,0.3741985559463501,0.4943040609359741,0.5113674998283386,0.45995670557022095,0.3576260805130005,False,0.10233062505722046,0.0037257569379273527,0.35330604513486225,0.333884296430041,0.34321332278231176,0.3229023807876472,2,0.009879989448978443,2026-03-13 02:21:26.877568
15,15,0.19517123699188232,0.11530959606170654,0.0855974555015564,0.13202609618504843,0.4941060543060303,0.3107237219810486,0.6538299918174744,0.48621992270151776,0.48033344745635986,False,0.005886475245157896,0.019651414269352883,0.39565543333689374,0.35702815739735067,0.28597122115760937,0.35700062144503997,1,0.02369482406401735,2026-03-13 02:21:27.003381
16,16,0.11340606212615967,0.1369059681892395,0.15012753009796143,0.1334798534711202,0.4412497282028198,0.4448941946029663,0.33921635150909424,0.40845342477162677,0.2667200565338135,False,0.1417333682378133,0.0023990998462042824,0.39518973231315613,0.3722910127271529,0.2779577700084953,0.3497512172643518,1,0.03895767939381961,2026-03-13 02:21:27.153161
17,17,0.1779496669769287,0.14108949899673462,0.08465331792831421,0.13456416130065918,0.4380006790161133,0.3791486620903015,0.35570377111434937,0.3909510374069214,0.25151246786117554,False,0.13943856954574585,0.0011984448732557478,0.4511653284231822,0.3248972119787205,0.35525648143501004,0.31984630658626945,2,0.021923148101676726,2026-03-13 02:21:27.311943
18,18,0.12732714414596558,0.12534648180007935,0.15485906600952148,0.13584423065185547,0.28835248947143555,0.39885425567626953,0.4624928832054138,0.3832332094510396,0.3020675778388977,False,0.08116563161214191,0.005176154664222881,0.4065663715203603,0.34281319756993917,0.32267953271720773,0.3345072697128531,1,0.00947986423660585,2026-03-13 02:21:27.491833
19,19,0.13629508018493652,0.18269288539886475,0.09164035320281982,0.13687610626220703,0.26389944553375244,0.5575308501720428,0.40606212615966797,0.4091641406218211,0.31178390979766846,False,0.09738023082415265,0.014374711545170943,0.4385358492533366,0.37347859361839936,0.29206959892285433,0.3344518074587463,1,0.04014526028506604,2026-03-13 02:21:27.631628
20,20,0.1470739245414734,0.12725377082824707,0.14131128787994385,0.1385463277498881,0.4295199513435364,0.48634910583496094,0.4632173180580139,0.4596954584121704,0.3726356625556946,False,0.08705979585647583,0.0005444605477175438,0.5102233191331228,0.3252876041441985,0.3540011711515095,0.32071122470429203,2,0.02066783781817616,2026-03-13 02:21:27.798674
