result_id,triad_id,distance_hist1_to_centroid,distance_hist2_to_centroid,distance_hist3_to_centroid,mean_historian_distance,distance_abstract1_to_centroid,distance_abstract2_to_centroid,distance_abstract3_to_centroid,mean_abstract_distance,distance_final_to_centroid,converged,convergence_delta,abstract_distance_variance,mean_pairwise_abstract_similarity,bias_weight_1,bias_weight_2,bias_weight_3,dominant_historian_position,bias_score,mean_source_embedding_distance,source_embedding_variance,created_at
51,51,0.26647239923477173,0.3807286024093628,0.2916959524154663,0.31296565135320026,0.5092814266681671,0.48680931329727173,0.6897923350334167,0.5619610249996185,0.44974541664123535,False,0.11221560835838318,0.008254587892370916,0.33536262313524884,0.30876463915635655,0.33858558556900925,0.35264977527463415,3,0.019316441941300833,0.717503011226654,0.021065808832645416,2026-03-13 10:57:46.564306
52,52,0.27442753314971924,0.3785130977630615,0.2813560962677002,0.31143224239349365,0.460995078086853,0.5006931722164154,0.34974950551986694,0.4371459186077118,0.3084801435470581,False,0.1286657750606537,0.004081722956563875,0.38984296719233197,0.35520133889162925,0.33761259185153003,0.30718606925684067,1,0.021868005558295933,0.6257656216621399,0.030072016641497612,2026-03-13 10:57:46.724219
53,53,0.3086954951286316,0.33888304233551025,0.2713548541069031,0.30631113052368164,0.5414177477359772,0.5452801883220673,0.5954960286617279,0.5607313215732574,0.5405692458152771,False,0.020162075757980347,0.0006067788373537534,0.338843713204066,0.388903856267584,0.3130270820158292,0.2980690617165868,1,0.05557052293425069,0.6032044291496277,0.023988312110304832,2026-03-13 10:57:46.901050
54,54,0.2883814573287964,0.3123987913131714,0.3059711456298828,0.3022504647572835,0.44845837354660034,0.4740360379219055,0.4073599576950073,0.4432847897211711,0.3278103470802307,False,0.11547444264094037,0.0007543329305366659,0.2504349648952484,0.39030279709749965,0.2884052714724412,0.32129193143005913,1,0.05696946376416634,0.7004233598709106,0.02748657390475273,2026-03-13 10:57:47.072780
55,55,0.2664579153060913,0.28172481060028076,0.37959110736846924,0.3092579444249471,0.5593888163566589,0.6664294600486755,0.6010434925556183,0.6089539229869843,0.5826530158519745,False,0.026300907135009766,0.0019409040218049494,0.3953022410472234,0.34612739378690793,0.3156709320389528,0.3382016741741392,1,0.012794060453574618,0.5788288116455078,0.01813698746263981,2026-03-13 10:57:47.226784
56,56,0.3879086971282959,0.2727576494216919,0.27105557918548584,0.3105739752451579,0.5401399731636047,0.5125333666801453,0.3788665533065796,0.4771799643834432,0.45005345344543457,False,0.027126510938008608,0.004959784185706282,0.5559037526448568,0.3400990554601165,0.3459527487425235,0.31394819579736,2,0.012619415409190204,0.6270266771316528,0.014543430879712105,2026-03-13 10:57:47.418582
57,57,0.31581783294677734,0.37231922149658203,0.24511444568634033,0.3110838333765666,0.4816092252731323,0.6217386722564697,0.44455230236053467,0.5159667332967123,0.4312301278114319,False,0.08473660548528039,0.005822720791611699,0.30837275584538776,0.37839023075974,0.31449488122224245,0.30711488801801756,1,0.04505689742640667,0.7314164638519287,0.031890034675598145,2026-03-13 10:57:47.607428
58,58,0.34509289264678955,0.3015618920326233,0.2652308940887451,0.3039618929227193,0.759050041437149,0.47410106658935547,0.48209095001220703,0.5717473526795706,0.4585531949996948,False,0.11319415767987573,0.017551788314094294,0.221604585647583,0.31218561374780635,0.36263659155299016,0.3251777946992035,2,0.029303258219656847,0.5984377861022949,0.05079280212521553,2026-03-13 10:57:47.773606
59,59,0.2700786590576172,0.3562905788421631,0.287680983543396,0.3046834071477254,0.4993363618850708,0.43843507766723633,0.4314225912094116,0.45639801025390625,0.35256749391555786,False,0.10383051633834839,0.0009300468481209615,0.3987882137298584,0.32506473829069055,0.36099370594976427,0.31394155575954524,2,0.02766037261643095,0.5823304653167725,0.04566740617156029,2026-03-13 10:57:48.000593
60,60,0.2489493489265442,0.295208215713501,0.39513182640075684,0.31309646368026733,0.5917080044746399,0.5231198966503143,0.5627790987491608,0.5592023332913717,0.4634265899658203,False,0.09577574332555139,0.0007904513813902348,0.2680939535299937,0.37448327795064973,0.28407386501550114,0.3414428570338491,1,0.041149944617316414,0.6521915793418884,0.041651397943496704,2026-03-13 10:57:48.178122
61,61,0.28574568033218384,0.4061015248298645,0.25158071517944336,0.3144759734471639,0.41983264684677124,0.6126035749912262,0.4074540138244629,0.47996341188748676,0.32840192317962646,False,0.1515614887078603,0.008822244860010129,0.29632580777009326,0.35922405570850957,0.30203430315743846,0.338741641134052,1,0.025890722375176256,0.5720421075820923,0.052916545420885086,2026-03-13 10:57:48.315384
62,62,0.38285672664642334,0.2737383246421814,0.2683979868888855,0.3083310127258301,0.5566357374191284,0.3676457405090332,0.45803284645080566,0.46077144145965576,0.3606095314025879,False,0.10016191005706787,0.005956619773324216,0.38856255014737445,0.30591693330652525,0.33161527880463887,0.3624677878888359,3,0.029134454555502565,0.559244692325592,0.04324376955628395,2026-03-13 10:57:48.442586
63,63,0.28244316577911377,0.29691505432128906,0.3183870315551758,0.2992484172185262,0.4158554673194885,0.42665332555770874,0.4003746509552002,0.4142944812774658,0.3316277861595154,False,0.08266669511795044,0.00011631312852244946,0.316001037756602,0.34292342543195464,0.3561724881558879,0.3009040864121574,2,0.022839154822554608,0.7147907614707947,0.014659692533314228,2026-03-13 10:57:48.648615
64,64,0.2732545733451843,0.38681262731552124,0.26418155431747437,0.30808291832606,0.6116726994514465,0.5383380949497223,0.4362744092941284,0.5287617345650991,0.5178592205047607,False,0.010902514060338375,0.005173280037459884,0.42504405975341797,0.32689712319634107,0.3466702670525921,0.32643260975106686,2,0.013336933719258759,0.5282077193260193,0.0300032626837492,2026-03-13 10:57:48.827348
65,65,0.25867319107055664,0.3861464262008667,0.2794102430343628,0.3080766201019287,0.4964612126350403,0.5683434009552002,0.5658950209617615,0.5435665448506674,0.48629432916641235,False,0.057272215684255,0.001110455255671007,0.38455334305763245,0.3275601720388145,0.3067741064545697,0.36566572150661586,3,0.032332388173282545,0.6383535861968994,0.03075462579727173,2026-03-13 10:57:49.159735
66,66,0.2602161765098572,0.3655681610107422,0.28655368089675903,0.30411267280578613,0.5129302144050598,0.4600931406021118,0.5009217858314514,0.4913150469462077,0.41305112838745117,False,0.07826391855875653,0.0005114374440143226,0.3829798797766368,0.34654734636560225,0.37338598503702475,0.28006666859737306,2,0.04005265170369143,0.5880792140960693,0.0478091686964035,2026-03-13 10:57:49.381348
67,67,0.3495417833328247,0.30062800645828247,0.2566656470298767,0.30227847894032794,0.6470412015914917,0.4195149540901184,0.5422146022319794,0.5362569193045298,0.531237781047821,False,0.005019138256708744,0.008645779209941374,0.3924007713794708,0.3879000155380298,0.2869515869165458,0.32514839754542435,1,0.05456668220469646,0.6111518144607544,0.015658967196941376,2026-03-13 10:57:49.650003
68,68,0.2763402462005615,0.3953089714050293,0.25538313388824463,0.3090107838312785,0.4017057418823242,0.5954528450965881,0.6130810678005219,0.5367465515931448,0.4516643285751343,False,0.0850822230180105,0.0091698025162936,0.4428849120934804,0.3651425720691914,0.32171476438666385,0.3131426635441448,1,0.03180923873585806,0.5613997578620911,0.014153720811009407,2026-03-13 10:57:49.884675
69,69,0.27434659004211426,0.2684875726699829,0.36463379859924316,0.30248932043711346,0.5512168109416962,0.510760486125946,0.6966373324394226,0.586204876502355,0.5297002792358398,False,0.05650459726651513,0.0063704493650791096,0.40164506435394287,0.34414206735162445,0.3378195413713635,0.31803839127701206,1,0.010808734018291133,0.5287310481071472,0.03639023005962372,2026-03-13 10:57:50.069654
70,70,0.2849063277244568,0.38462620973587036,0.25161391496658325,0.3070488174756368,0.4043492078781128,0.5425645709037781,0.5917165279388428,0.5128767689069113,0.3920983076095581,False,0.12077846129735315,0.0062917682314925895,0.44292232394218445,0.3433761401728252,0.3498911388944302,0.30673272093274456,2,0.016557805561096872,0.5583407878875732,0.03774091973900795,2026-03-13 10:57:50.231867
71,71,0.2911491394042969,0.3960379958152771,0.2434651255607605,0.3102174202601115,0.47525638341903687,0.6037603318691254,0.5255355536937714,0.5348507563273112,0.3362898826599121,False,0.19856087366739905,0.0027955972945957874,0.2727298339207967,0.29682597472046723,0.31582156356881974,0.387352461710713,3,0.05401912837737971,0.6242126822471619,0.052850328385829926,2026-03-13 10:57:50.389262
72,72,0.26519477367401123,0.3753091096878052,0.27132606506347656,0.30394331614176434,0.5104148685932159,0.6135522425174713,0.45208072662353516,0.5253492792447408,0.416312575340271,False,0.10903670390446984,0.004457026718268469,0.33399049441019696,0.3170780521087328,0.31182491352292896,0.3710970343683383,3,0.03776370103500498,0.4568575322628021,0.024062927812337875,2026-03-13 10:57:50.531001
73,73,0.29132598638534546,0.3367080092430115,0.264808714389801,0.2976142366727193,0.610957533121109,0.6243104636669159,0.5622704327106476,0.5991794764995575,0.48815488815307617,False,0.11102458834648132,0.0007108555490660251,0.3048825760682424,0.35642338508940585,0.34972208810675415,0.29385452680384,1,0.023090051756072538,0.5932692885398865,0.026674630120396614,2026-03-13 10:57:50.663404
74,74,0.2779664993286133,0.25314557552337646,0.3886493444442749,0.30658713976542157,0.43131715059280396,0.5361434817314148,0.6234882175922394,0.5303162833054861,0.35009217262268066,False,0.18022411068280542,0.006171931286031156,0.231951043009758,0.31529378804565883,0.3238425548177055,0.36086365713663576,3,0.027530323803302448,0.6123888492584229,0.028930922970175743,2026-03-13 10:57:50.874445
75,75,0.2762638330459595,0.32899028062820435,0.28309953212738037,0.2961178819338481,0.4636484980583191,0.5033941268920898,0.40772300958633423,0.45825521151224774,0.3035013675689697,False,0.154753843943278,0.0015400375509726256,0.21850929409265518,0.3511641427463368,0.3195052544763206,0.32933060277734255,1,0.017830809413003468,0.7080685496330261,0.040005769580602646,2026-03-13 10:57:50.985163
76,76,0.2787362337112427,0.3768826723098755,0.2561120390892029,0.3039103150367737,0.5921850204467773,0.5830807089805603,0.4468388557434082,0.5407015283902487,0.5362478494644165,False,0.00445367892583215,0.004418915406082944,0.3780311147371928,0.3007751593624211,0.38312815710351994,0.3160966835340589,2,0.049794823770186625,0.5739946961402893,0.029534121975302696,2026-03-13 10:57:51.099056
77,77,0.3590264320373535,0.29990899562835693,0.24681997299194336,0.3019184668858846,0.5405144691467285,0.5533210337162018,0.6108410060405731,0.5682255029678345,0.4984222650527954,False,0.06980323791503906,0.0009353752337499799,0.32828064759572345,0.3652934525645634,0.28538727632835936,0.3493192711070773,1,0.0319601192312301,0.6813359260559082,0.022097168490290642,2026-03-13 10:57:51.234213
78,78,0.28134381771087646,0.38381731510162354,0.25055134296417236,0.30523749192555744,0.3227733373641968,0.541234016418457,0.43832069635391235,0.43410935004552204,0.33830344676971436,False,0.09580590327580768,0.007963045767672679,0.4013366401195526,0.345843966885839,0.30672533052979933,0.3474307025843617,3,0.014097369251028391,0.5533864498138428,0.032088011503219604,2026-03-13 10:57:51.360706
79,79,0.2667505741119385,0.37731754779815674,0.2648596167564392,0.3029759128888448,0.3667372465133667,0.45071208477020264,0.368313193321228,0.3952541748682658,0.2735103368759155,False,0.12174383799235028,0.0015382038200692071,0.4298260410626729,0.3374575691253655,0.3111489281351385,0.35139350273949604,3,0.01806016940616273,0.6301992535591125,0.03180735185742378,2026-03-13 10:57:51.532454
80,80,0.2576652765274048,0.3825477957725525,0.27078384160995483,0.3036656379699707,0.6109354794025421,0.5489771366119385,0.5817290544509888,0.5805472234884897,0.5246172547340393,False,0.05592996875445044,0.0006405044024382849,0.3815581202507019,0.3296516526584521,0.35054923460545956,0.3197991127360883,2,0.017215901272126244,0.5725674629211426,0.01769043318927288,2026-03-13 10:57:51.702790
81,81,0.2503955364227295,0.384942889213562,0.278531551361084,0.3046233256657918,0.525181770324707,0.5760169625282288,0.5423420071601868,0.5478469133377075,0.4834858179092407,False,0.0643610954284668,0.0004458547904064858,0.3764747977256775,0.36882048273018847,0.31260078478311415,0.3185787324866974,1,0.035487149396855155,0.658376932144165,0.02943374402821064,2026-03-13 10:57:51.869259
82,82,0.27996981143951416,0.24836546182632446,0.38773274421691895,0.3053560058275859,0.5420469343662262,0.5175635814666748,0.6474992036819458,0.5690365731716156,0.5116788744926453,False,0.05735769867897034,0.003178097954834295,0.4089635908603668,0.33491416001589563,0.31251103165119165,0.3525748083329128,3,0.01924147499957951,0.5735386610031128,0.02911464311182499,2026-03-13 10:57:52.003487
83,83,0.2896190881729126,0.3418765664100647,0.2587743401527405,0.29675666491190594,0.41061389446258545,0.6203958690166473,0.5497846603393555,0.526931474606196,0.4268830418586731,False,0.10004843274752295,0.007595880190377318,0.3035249213377635,0.3441881248643457,0.30535981777949056,0.35045205735616386,3,0.017118724022830545,0.6180245876312256,0.024415334686636925,2026-03-13 10:57:52.155025
84,84,0.35383838415145874,0.29499346017837524,0.24953311681747437,0.2994549870491028,0.5837860703468323,0.5625723898410797,0.5740846991539001,0.5734810531139374,0.45082545280456543,False,0.12265560030937195,7.518556770413909e-05,0.32522158821423847,0.3393675145005429,0.33867573927705324,0.3219567462224037,1,0.006034181167209607,0.5989171266555786,0.008052046410739422,2026-03-13 10:57:52.345926
85,85,0.3100694417953491,0.2570013999938965,0.31834739446640015,0.29513941208521527,0.42461705207824707,0.4273381233215332,0.3855963349342346,0.4125171701113383,0.2347394824028015,True,0.1777776877085368,0.0003635997214348979,0.24980405966440836,0.37297072468376663,0.31200272268708557,0.31502655262914775,1,0.039637391350433315,0.7032778263092041,0.026273544877767563,2026-03-13 10:57:52.504551
86,86,0.26863229274749756,0.2614175081253052,0.3735663890838623,0.3012053966522217,0.3867608308792114,0.41417598724365234,0.4663715958595276,0.42243613799413043,0.35150837898254395,False,0.07092775901158649,0.0010904273620021678,0.4659522871176402,0.335767257921501,0.3122302390400705,0.35200250303842845,3,0.018669169705095134,0.6211211681365967,0.027909209951758385,2026-03-13 10:57:52.659330
87,87,0.27771854400634766,0.2485758662223816,0.38633251190185547,0.30420897404352826,0.36959487199783325,0.6045275926589966,0.6192699670791626,0.5311308105786642,0.3851308822631836,False,0.1459999283154806,0.013083152660519048,0.3853060205777486,0.39014922067642116,0.32451634683731273,0.28533443248626605,1,0.056815887343087845,0.5759762525558472,0.025754790753126144,2026-03-13 10:57:52.818562
88,88,0.2858351469039917,0.3449289798736572,0.257424533367157,0.2960628867149353,0.44953256845474243,0.6089145541191101,0.581943154335022,0.5467967589696249,0.4920036792755127,False,0.05479307969411218,0.004851404112643188,0.4063543876012166,0.3269770278548782,0.3577285848569963,0.3152943872881255,2,0.02439525152366301,0.6618682146072388,0.027067527174949646,2026-03-13 10:57:53.093618
89,89,0.3963910937309265,0.26778602600097656,0.2516492009162903,0.30527544021606445,0.5345749855041504,0.5440040826797485,0.44495415687561035,0.5078444083531698,0.45365405082702637,False,0.05419035752614343,0.0019924098443798105,0.31373750666777295,0.3314282756529353,0.348362826698278,0.3202088976487867,2,0.01502949336494469,0.6083738207817078,0.05336228385567665,2026-03-13 10:57:53.235720
90,90,0.23969244956970215,0.2797185182571411,0.4052910804748535,0.3082340161005656,0.5222045481204987,0.5089956223964691,0.642591118812561,0.5579304297765096,0.4384346008300781,False,0.11949582894643151,0.0036127954204933214,0.2653198192516963,0.3883146517076686,0.2804296779084568,0.33125567038387466,1,0.054981318374335286,0.5995279550552368,0.035524800419807434,2026-03-13 10:57:53.395645
91,91,0.28325140476226807,0.27828294038772583,0.3110899329185486,0.29087475935618085,0.45905423164367676,0.44208312034606934,0.5010398626327515,0.46739240487416583,0.24632543325424194,True,0.2210669716199239,0.0006140788099205312,0.24871340642372766,0.32193052527630134,0.36340172603713944,0.3146677486865593,2,0.030068392703806124,0.6395624876022339,0.0450453907251358,2026-03-13 10:57:53.573252
92,92,0.323665976524353,0.25352972745895386,0.3028671145439148,0.2933542728424072,0.42190468311309814,0.34022223949432373,0.4432942867279053,0.4018070697784424,0.28241634368896484,False,0.11939072608947754,0.0019725981843616105,0.22948008279005686,0.353755940520738,0.35939098010003284,0.28685307937922916,2,0.026057646766699527,0.6983141303062439,0.027058737352490425,2026-03-13 10:57:53.731390
93,93,0.3562898635864258,0.2888745069503784,0.24761426448822021,0.2975928783416748,0.7071057558059692,0.3660796284675598,0.4881622791290283,0.5204492211341858,0.4310358166694641,False,0.08941340446472168,0.01990435989992771,0.366556853055954,0.3160079136520924,0.3288979985873255,0.35509408776058204,3,0.02176075442724873,0.6968908309936523,0.018975501880049706,2026-03-13 10:57:53.876591
94,94,0.26557886600494385,0.30740952491760254,0.29800617694854736,0.29033152262369794,0.44309449195861816,0.6228691637516022,0.40254688262939453,0.48950351277987164,0.34582602977752686,False,0.14367748300234479,0.009167216533275952,0.19077439606189728,0.3896722182474895,0.3029137111656079,0.30741407058690257,1,0.05633888491415617,0.6908960342407227,0.02829420194029808,2026-03-13 10:57:54.051519
