authorId,authorName,matched_papers,total_topic_citations,first_author_papers,last_author_papers,score,rank
https://openalex.org/A5006690810,Paddy Scannell,1,250,1,0,14.744053058823512,296
https://openalex.org/A5003348834,David Cardiff,1,250,0,1,14.744053058823512,297
https://openalex.org/A5007061586,Conrad Taeuber,1,248,1,0,14.72805297348936,298
https://openalex.org/A5111589022,Stuart B. Schwartz,1,175,1,1,14.727262351196194,299
https://openalex.org/A5110738268,Neville Meaney,1,174,1,1,14.71586630896692,300
https://openalex.org/A5112080533,E. J. Hobsbawm,1,173,1,1,14.704404959548949,301
https://openalex.org/A5031760855,Avery Craven,1,171,1,1,14.681283314746796,302
https://openalex.org/A5030996990,Celia Applegate,1,171,1,1,14.681283314746796,303
https://openalex.org/A5112549944,Otto Kirchheimer,1,242,1,0,14.679270067241042,304
https://openalex.org/A5060298788,Robert J. Griffin,1,242,0,1,14.679270067241042,305
https://openalex.org/A5112788890,M. M. Austin,1,242,1,0,14.679270067241042,306
https://openalex.org/A5007624909,Pierre Vidal‐Naquet,1,242,0,1,14.679270067241042,307
https://openalex.org/A5032037427,Greg Garrard,1,242,1,0,14.679270067241042,308
https://openalex.org/A5074128273,Roy Porter,1,170,1,1,14.669621474125211,309
https://openalex.org/A5037099828,Daniel M. Fox,1,170,1,1,14.669621474125211,310
https://openalex.org/A5023431648,Henrik Mouritsen,1,169,1,1,14.657891235220415,311
https://openalex.org/A5015641326,Romila Thapar,1,169,1,1,14.657891235220415,312
https://openalex.org/A5027401374,Richard B. Sher,1,169,1,1,14.657891235220415,313
https://openalex.org/A5003098258,Nathan Ensmenger,1,169,1,1,14.657891235220415,314
https://openalex.org/A5110342604,Ira J. Cohen,1,236,1,0,14.629267462830208,315
https://openalex.org/A5043114939,Jeanette Beer,1,236,1,0,14.629267462830208,316
https://openalex.org/A5004345599,Kay Mussell,1,236,1,0,14.629267462830208,317
https://openalex.org/A5003616336,Richard Gombrich,1,235,0,1,14.620810790611166,318
https://openalex.org/A5007135647,Jonathan S. Walters,1,235,1,0,14.620810790611166,319
https://openalex.org/A5051947832,John F. Galliher,1,233,1,0,14.603789411275349,320
https://openalex.org/A5082060107,Bill Cooke,1,162,1,1,14.573794762733415,321
https://openalex.org/A5000414136,Jonathan Seely,1,161,1,1,14.561487031584658,322
https://openalex.org/A5077987498,Jaap Mansfeld,1,161,1,1,14.561487031584658,323
https://openalex.org/A5081360781,Nell Pape Warning,1,159,1,1,14.536641991587544,324
https://openalex.org/A5026588989,Alexandra Walsham,1,158,1,1,14.524102765560354,325
https://openalex.org/A5043027378,Eugene Garfield,1,223,1,0,14.516439284270025,326
https://openalex.org/A5041608400,V. S. Istomin,1,223,0,1,14.516439284270025,327
https://openalex.org/A5111454796,J. G. A. Pocock,1,156,1,1,14.498785971816506,328
https://openalex.org/A5009993607,Bruce P. Lenman,1,312,0,0,14.492406381080306,329
https://openalex.org/A5050284433,Joseph Rhatigan,1,220,0,1,14.48947258359545,330
https://openalex.org/A5013113624,Heidi Behforouz,1,220,1,0,14.48947258359545,331
https://openalex.org/A5104364167,William B. Taylor,1,155,1,1,14.486006375618965,332
